,ID_question,question_DE,question_EN,rapide
19,32233,"Würden Sie es befürworten, wenn in der Schweiz die direkte aktive Sterbehilfe durch Ärztinnen und Ärzte straffrei möglich wäre?",Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,0
20,32234,"Soll neben ""weiblich"" und ""männlich"" ein drittes amtliches Geschlecht eingeführt werden?","Should a third official gender be introduced alongside ""female"" and ""male""?",1
21,32235,"Finden Sie es richtig, dass gleichgeschlechtliche Paare in allen Bereichen heterosexuellen Paaren gleichgestellt sind?",Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,0
22,32236,Befürworten Sie Steuersenkungen auf Bundesebene in den nächsten vier Jahren?,Do you support tax cuts at the federal level over the next four years?,1
23,32237,Sollen Ehepaare getrennt als Einzelpersonen besteuert werden (Individualbesteuerung)? [BePart-Frage],Should married couples be taxed separately (individual taxation)? [BePart question],0
24,32238,Würden Sie die Einführung einer nationalen Erbschaftssteuer auf alle Erbschaften von über einer Million Franken befürworten? [BePart-Frage],Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],1
25,32239,Sollen die Unterschiede zwischen finanzstarken und -schwachen Kantonen durch den Finanzausgleich stärker verringert werden?,Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,0
26,32240,Befürworten Sie die Einführung eines für alle Arbeitnehmenden gültigen Mindestlohnes von mindestens CHF 4'000 für eine Vollzeitstelle?,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",1
27,32241,"Befürworten Sie strengere Regulierungen für den Finanzsektor (z.B. strengere Eigenkapitalvorschriften für Banken, Bonusverbot)?","Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",1
28,32242,Sollen Privathaushalte ihren Stromanbieter frei wählen können (vollständige Liberalisierung des Strommarktes)?,Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,0
29,32243,"Sollen die Vorschriften für den Bau von Wohnraum gelockert werden (z.B. Lärmschutz, Ausnutzungsziffern)?","Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",0
30,32244,Befürworten Sie eine strengere Kontrolle der Lohngleichheit von Frauen und Männern?,Are you in favor of stricter controls on equal pay for women and men?,1
31,32245,Sollen stark befahrene Autobahnabschnitte ausgebaut werden?,Should busy sections of highways be widened?,1
32,32246,Soll die Schweiz die Neuzulassung von Personenwagen mit Verbrennungsmotoren ab 2035 verbieten?,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,1
33,32247,Soll zur Erreichung der Klimaziele ausschliesslich auf Anreize und Zielvereinbarungen anstatt auf Verbote und Einschränkungen gesetzt werden?,"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",0
34,32248,"Finden Sie es richtig, dass für den Ausbau von erneuerbaren Energien die Vorschriften des Umwelt- und Landschaftsschutzes gelockert werden?",Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0
35,32249,Sollen in der Schweiz wieder neue Atomkraftwerke gebaut werden dürfen?,Should the construction of new nuclear power plants in Switzerland be allowed again?,1
36,32250,Soll der Staat auch in ländlichen Regionen ein umfassendes Service-Public-Angebot garantieren?,Should the state guarantee a comprehensive public service offering also in rural regions?,0
37,32251,Würden Sie die Einführung steigender Strompreise bei grösserem Verbrauch befürworten (progressive Stromtarife)?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,0
38,32252,"Befürworten Sie eine weitere Lockerung der Schutzbestimmungen für Grossraubtiere (Luchs, Wolf, Bär)?","Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",1
39,32253,Sollen nur noch Landwirtschaftsbetriebe mit erweitertem ökologischen Leistungsnachweis Direktzahlungen erhalten?,Should direct payments only be granted to farmers with proof of ecological performance?,1
40,32254,Befürworten Sie strengere Tierschutzregelungen für die Haltung von Nutztieren (z.B. permanenter Zugang zum Aussenbereich)?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0
41,32255,Soll in der Schweiz 30 Prozent der Landesfläche zur Sicherung der Biodiversität zur Verfügung stehen? [BePart-Frage],Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],0
42,32256,Würden Sie ein Verbot von Einwegplastik und nicht-rezyklierbaren Kunststoffen befürworten? [BePart-Frage],Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],1
43,32257,"Befürworten Sie staatliche Massnahmen für eine nachhaltigere Nutzung von elektronischen Geräten (z.B. Recht auf Reparatur, Verlängerung der Gewährleistungsfrist, garantierte Mindestzeit für Software-Updates)? [BePart-Frage]","Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",0
44,32258,Soll das Schweizer Mobilfunknetz möglichst flächendeckend mit der neusten Technologie ausgestattet werden (aktuell 5G-Standard)?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,0
45,32259,"Soll der Bund im Bereich der Digitalisierung  staatlicher Dienstleistungen zusätzliche Kompetenzen erhalten, um gegenüber den Kantonen verbindliche Vorgaben und Standards durchsetzen zu können?",Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0
46,32260,"Befürworten Sie eine stärkere Regulierung grosser Internetplattformen (Transparenz-Regeln bei Algorithmen, verstärkte Haftung für Inhalte, Bekämpfung von Desinformation)?","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",1
47,32261,"Eine Volksinitiative möchte die Fernseh- und Radiogebühren reduzieren (200 Franken pro Haushalt, Abgabenbefreiung von Unternehmen). Unterstützen Sie dieses Anliegen?","A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",1
48,32262,Soll das Stimmrechtsalter auf 16 Jahre gesenkt werden?,Are you in favour of lowering the voting age to 16?,0
49,32263,Soll gegen Ausgaben des Bundes ab einer bestimmten Höhe ein Referendum ergriffen werden können (fakultatives Finanzreferendum)?,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,0
50,32264,Befürworten Sie einen Ausbau des Armee-Sollbestandes auf mindestens 120'000 Soldat/-innen?,"Are you in favor of expanding the army's target number of soldiers to at least 120,000?",1
51,32265,Soll die Schweizer Armee die Zusammenarbeit mit der NATO ausbauen?,Should the Swiss Armed Forces expand their cooperation with NATO?,0
52,32266,Soll der Bundesrat in Fällen eines völkerrechtswidrigen Angriffskrieges (z.B. der Angriff auf die Ukraine) anderen Staaten die Wiederausfuhr von Schweizer Waffen erlauben dürfen? [BePart-Frage],"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",0
53,32267,Soll die automatische Gesichtserkennung im öffentlichen Raum verboten werden?,Should automatic facial recognition be banned in public spaces?,1
54,32268,Soll die Schweiz das Schengen-Abkommen mit der EU kündigen und wieder verstärkte Personenkontrollen direkt an der Grenze einführen? [BePart-Frage],Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],1
55,32269,Befürworten Sie engere Beziehungen zur Europäischen Union (EU)?,Are you in favor of closer relations with the European Union (EU)?,0
56,32270,Soll die Schweiz ein umfassendes Freihandelsabkommen (inkl. Landwirtschaft) mit den USA anstreben?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,1
57,32271,"Sollen Schweizer Unternehmen, deren Tochterfirmen oder Zulieferer im Ausland tätig sind, zur Einhaltung von Sozial- und Umweltstandards verpflichtet werden?",Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0
58,32272,Soll die Schweiz die Bilateralen Verträge mit der EU kündigen und ein Freihandelsabkommen ohne Personenfreizügigkeit anstreben?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,1
59,32273,Soll die Schweiz zu einer strikten Auslegung der Neutralität zurückkehren (weitgehender Verzicht auf wirtschaftliche Sanktionen)? [BePart-Frage],Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],1
60,32274,"Wie beurteilen Sie folgende Aussage: ""Wer sich nichts zuschulden kommen lässt, hat von staatlichen Sicherheitsmassnahmen nichts zu befürchten.""","What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",0
61,32275,"Wie beurteilen Sie folgende Aussage: ""Von einer freien Marktwirtschaft profitieren langfristig alle.""","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",0
62,32276,"Wie beurteilen Sie folgende Aussage: ""Es ist notwendig, dass der Staat durch Umverteilung die Einkommens- und Vermögensunterschiede ausgleicht.""","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0
63,32277,"Wie beurteilen Sie folgende Aussage: ""Für ein Kind ist es am besten, wenn ein Elternteil Vollzeit für die Kinderbetreuung zu Hause bleibt.""","What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",0
64,32278,"Wie beurteilen Sie folgende Aussage: ""Die fortschreitende Digitalisierung bietet mehr Chancen als Risiken.""","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",0
65,32279,"Wie beurteilen Sie folgende Aussage: ""Die Bestrafung Krimineller ist wichtiger als deren Wiedereingliederung in die Gesellschaft.""","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",0
66,32280,"Wie beurteilen Sie folgende Aussage: ""Ein stärkerer Umweltschutz ist notwendig, auch wenn er zu Lasten des Wirtschaftswachstums durchgesetzt werden muss.""","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0
67,32281,"Soll der Bund im Bereich ""Soziale Wohlfahrt"" mehr oder weniger ausgeben?","Should the federal government spend more or less in the area of ""Social services""?",0
68,32282,"Soll der Bund im Bereich ""Bildung und Forschung"" mehr oder weniger ausgeben?","Should the federal government spend more or less in the area of ""Education and research""?",0
69,32283,"Soll der Bund im Bereich ""Landwirtschaft"" mehr oder weniger ausgeben?","Should the federal government spend more or less in the area of ""Agriculture""?",0
70,32284,"Soll der Bund im Bereich ""Öffentlicher Verkehr"" mehr oder weniger ausgeben?","Should the federal government spend more or less in the area of ""Public transport""?",0
71,32285,"Soll der Bund im Bereich ""Strassenverkehr (motorisierter Individualverkehr)"" mehr oder weniger ausgeben?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0
72,32286,"Soll der Bund im Bereich ""Öffentliche Sicherheit"" mehr oder weniger ausgeben?","Should the federal government spend more or less in the area of ""Public security""?",0
73,32287,"Soll der Bund im Bereich ""Landesverteidigung"" mehr oder weniger ausgeben?","Should the federal government spend more or less in the area of ""National defence""?",0
74,32288,"Soll der Bund im Bereich ""Entwicklungszusammenarbeit"" mehr oder weniger ausgeben?","Should the federal government spend more or less in the area of ""Development assistance""?",0
